"filename", "language", "Python", "JavaScript", "HTML", "JSON", "PowerShell", "MS SQL", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\yanni\Desktop\Site Confrérie 7ds\.github\workflows\boss-reminder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 10, 4, 35
"c:\Users\yanni\Desktop\Site Confrérie 7ds\.github\workflows\pages.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 69, 3, 7, 79
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\armes.json", "JSON", 0, 0, 0, 162346, 0, 0, 0, 0, 0, 1, 162347
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\armures-gravees.json", "JSON", 0, 0, 0, 48197, 0, 0, 0, 0, 0, 1, 48198
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\armures.json", "JSON", 0, 0, 0, 81906, 0, 0, 0, 0, 0, 1, 81907
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\enchantements.json", "JSON", 0, 0, 0, 147854, 0, 0, 0, 0, 0, 1, 147855
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\libelles-stats.json", "JSON", 0, 0, 0, 336, 0, 0, 0, 0, 0, 1, 337
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\personnages.json", "JSON", 0, 0, 0, 57358, 0, 0, 0, 0, 0, 1, 57359
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\sets.json", "JSON", 0, 0, 0, 614, 0, 0, 0, 0, 0, 1, 615
"c:\Users\yanni\Desktop\Site Confrérie 7ds\7ds-stats\stat-metadata.json", "JSON", 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 60
"c:\Users\yanni\Desktop\Site Confrérie 7ds\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 846, 0, 0, 166, 1012
"c:\Users\yanni\Desktop\Site Confrérie 7ds\armures-liees.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 3, 1, 120
"c:\Users\yanni\Desktop\Site Confrérie 7ds\data.js", "JavaScript", 0, 1387, 0, 0, 0, 0, 0, 0, 2, 1, 1390
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-24-armes-compatibles.md", "Markdown", 0, 0, 0, 0, 0, 0, 189, 0, 0, 69, 258
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-24-armures-liees-compatibles.md", "Markdown", 0, 0, 0, 0, 0, 0, 575, 0, 0, 161, 736
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-24-potentiel-commun.md", "Markdown", 0, 0, 0, 0, 0, 0, 252, 0, 0, 84, 336
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-25-boss-trois-runs.md", "Markdown", 0, 0, 0, 0, 0, 0, 921, 0, 0, 205, 1126
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-25-menu-element-dps.md", "Markdown", 0, 0, 0, 0, 0, 0, 399, 0, 0, 85, 484
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-25-roster-persistant.md", "Markdown", 0, 0, 0, 0, 0, 0, 1041, 0, 0, 221, 1262
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-25-scrollbars-invisibles.md", "Markdown", 0, 0, 0, 0, 0, 0, 94, 0, 0, 37, 131
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-boss-optimistic-membership.md", "Markdown", 0, 0, 0, 0, 0, 0, 403, 0, 0, 107, 510
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-boss-run-reports.md", "Markdown", 0, 0, 0, 0, 0, 0, 922, 0, 0, 265, 1187
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-ci-pages-pwa-updates.md", "Markdown", 0, 0, 0, 0, 0, 0, 456, 0, 0, 121, 577
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-mobile-accessibilite.md", "Markdown", 0, 0, 0, 0, 0, 0, 559, 0, 0, 152, 711
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-mobile-picker-overlap.md", "Markdown", 0, 0, 0, 0, 0, 0, 96, 0, 0, 35, 131
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-recensement-dps-gowther.md", "Markdown", 0, 0, 0, 0, 0, 0, 124, 0, 0, 49, 173
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-roster-favori-copie.md", "Markdown", 0, 0, 0, 0, 0, 0, 444, 0, 0, 124, 568
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-26-supabase-realtime.md", "Markdown", 0, 0, 0, 0, 0, 0, 457, 0, 0, 108, 565
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-27-mon-suivi-dashboard.md", "Markdown", 0, 0, 0, 0, 0, 0, 1672, 0, 0, 274, 1946
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\plans\2026-07-28-stats-builds-lot1.md", "Markdown", 0, 0, 0, 0, 0, 0, 1451, 0, 0, 348, 1799
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-24-armes-compatibles-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 53, 0, 0, 22, 75
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-24-armures-liees-compatibles-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 99, 0, 0, 38, 137
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-24-potentiel-commun-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 58, 0, 0, 26, 84
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-24-team-builder-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 58, 0, 0, 18, 76
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-25-boss-groupes-hebdo-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 33, 0, 0, 7, 40
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-25-boss-sessions-pwa-recensement-auto-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 144, 0, 0, 28, 172
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-25-boss-trois-runs-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 105, 0, 0, 38, 143
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-25-menu-element-dps-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 52, 0, 0, 17, 69
